ds,yhat,yhat_lower,yhat_upper
2018-12-31,2331.1821425844655,-261.08852572492526,4832.268519402382
2019-01-01,2591.137371922362,-21.93906553730029,4969.263231978061
2019-01-02,1601.5022451606108,-1008.0239769311039,4087.4409057245525
2019-01-03,408.4070050347542,-2258.5466118345616,2834.018034030298
2019-01-04,1188.4544763333795,-1334.6913502461005,3619.3230066586148
2019-01-05,2173.9286333798505,-441.8967911121685,4763.000414067186
2019-01-06,1758.1685852198937,-943.1646250989536,4393.797576575931
2019-01-07,1540.8462116352366,-1024.4553741612074,4004.289893892381
2019-01-08,1846.1189505801817,-622.7172965278008,4422.959780269559
2019-01-09,907.0513526030559,-1522.277715503857,3468.1030494921606
2019-01-10,-227.8464772636298,-2857.421728600056,2383.5222471396232
2019-01-11,623.7900563147227,-2225.8302652329235,3156.099227494704
2019-01-12,1687.3085606412067,-1045.484609610023,4187.391842117646
2019-01-13,1349.4862764964064,-1244.5612330901529,3906.4101484563544
2019-01-14,1213.489522362743,-1421.966239402699,3799.3090115699206
2019-01-15,1602.8432835902327,-1004.1158154856513,4038.3683370817616
2019-01-16,743.3180767023979,-1747.6675672960216,3496.158420790524
2019-01-17,-314.94959619424446,-2870.604996332732,2253.507282272156
2019-01-18,615.6525620108642,-1961.7661444995492,3439.4446093180377
2019-01-19,1753.2766818293187,-860.7947623535201,4398.056528798355
2019-01-20,1478.1434585919963,-1215.9553191649647,4100.725975589418
2019-01-21,1397.1864858767356,-1096.6928241608407,3942.0047529121066
2019-01-22,1833.8351895590633,-901.5513104775337,4423.143933141374
2019-01-23,1007.3570255740485,-1572.2449686865612,3538.5907863979023
2019-01-24,-29.45636626990941,-2613.706943943655,2625.1512977653197
2019-01-25,917.4992150938551,-1793.5913979175423,3483.8264563127013
2019-01-26,2060.612287305757,-650.3569243164296,4371.709581038014
2019-01-27,1775.1338725933024,-795.2498012941232,4448.381075083587
2019-01-28,1673.469981739291,-915.3835301629158,4239.979598914823
2019-01-29,2080.737945790179,-459.11631631645423,4480.234085941682
2019-01-30,1211.5217554623625,-1369.2472567573516,3964.2717023791192
2019-01-31,123.08050503366314,-2444.2532897863657,2562.2326974916364
2019-02-01,1017.7717755566285,-1689.8774545818696,3471.1987955934087
2019-02-02,2103.8884672410613,-505.3958206318098,4692.609239691566
2019-02-03,1753.2457850379812,-686.5863980697408,4421.778791173389
2019-02-04,1585.0842098604946,-957.3802726981352,4301.386931515815
2019-02-05,1927.365505416333,-749.3294426751615,4341.577053621869
2019-02-06,990.912268691895,-1756.764337433303,3395.2026527590406
2019-02-07,-161.88473963638327,-2806.235595472342,2234.6835293445506
2019-02-08,679.9745172276992,-1791.7075311232531,3370.514679925993
2019-02-09,1720.7905610119049,-896.9169231933965,4427.720789586819
2019-02-10,1328.756343264208,-1293.199832004606,3956.381821115476
2019-02-11,1129.4738436568543,-1572.7299217088225,3552.1757900905286
2019-02-12,1452.9998120164607,-1290.3968297912702,4033.8591983361916
2019-02-13,505.38627941716476,-2092.5058282220216,3044.213581768496
2019-02-14,-647.0901837131759,-3191.967580700196,2068.3839513201383
2019-02-15,213.75915156894672,-2188.905768285488,2977.283832751429
2019-02-16,1286.6145733209637,-1129.4404942217418,3836.7176263927286
2019-02-17,934.2828615617458,-1696.1763440536338,3601.7892142322103
2019-02-18,786.8688262384424,-1785.4678677597042,3486.713309163215
