ds,yhat,yhat_lower,yhat_upper
2015-01-04,7731.575637133839,1271.6980181747865,14012.930621466392
2015-01-11,4094.12406813732,-2373.6278441345144,9858.995023730351
2015-01-18,2474.053793893022,-4094.1510956800603,8783.789142228945
2015-01-25,4745.6457985287325,-1368.8789636042745,10834.15464768925
2015-02-01,4813.694265885727,-1815.5699132852747,10969.08333290127
2015-02-08,4539.177439993757,-1845.9347044783378,10571.362031514353
2015-02-15,2955.4637981229844,-3417.9321443641734,9210.371557909986
2015-02-22,3206.386071206622,-3102.7507362554757,9431.348325467005
2015-03-01,2929.4973622529265,-3561.1087778147667,8707.026182678634
2015-03-08,5691.651111492038,-381.6161264012822,11787.608309794297
2015-03-15,7996.33576049889,1911.720783752041,14741.232233903262
2015-03-22,12063.797388888654,5891.667205777137,18404.82863576182
2015-03-29,8743.032275444386,2371.4904150251436,14971.666238838543
2015-04-05,6933.421128541085,344.74504358482835,13452.867098875335
2015-04-12,7184.419250592764,959.1311787364205,13140.905488321052
2015-04-19,5857.708514643994,-414.1293027188327,12132.143875939992
2015-04-26,5219.367408419702,-1251.941112543853,11612.629391356273
2015-05-03,4606.372188790171,-1598.6587206937236,10809.231508045135
2015-05-10,7348.784164254464,1136.8064495550786,14096.852284288892
2015-05-17,5417.96910650516,-1448.5806760090413,11935.127018578882
2015-05-24,6318.613501048536,-134.87396053431766,12482.201401029613
2015-05-31,7160.036641035246,376.39851094259,13463.162872844807
2015-06-07,8340.285715165504,2371.9783109193945,15006.551130056656
2015-06-14,7086.24153574011,1239.9843335084774,13158.086634471761
2015-06-21,6619.36818338056,184.4353942873893,12555.290072034311
2015-06-28,5942.26483286401,-161.89341165781815,12522.428206374167
2015-07-05,7371.9852666260695,1280.4458633700058,13608.323358179248
2015-07-12,5474.850257747316,-1212.1787082763346,11979.762348823884
2015-07-19,5497.817520309237,-569.9647134581163,11776.998530020015
2015-07-26,7796.3007731025955,1067.0763543463397,14324.623088904538
2015-08-02,6733.776973924401,332.12620632958067,12915.223771739787
2015-08-09,6078.182325878047,52.870319168819606,13244.583245807684
2015-08-16,5160.852700719191,-624.6348126626209,11477.272387942516
2015-08-23,9585.914648669446,3346.3066983617887,16385.93399173094
2015-08-30,8623.669517159451,2369.241827636379,15074.844978212725
2015-09-06,11708.101238094649,5590.173852011256,18672.130484985904
2015-09-13,14575.319799304267,8694.815891946142,20638.69089424305
2015-09-20,15454.356022533126,9700.451297724372,21677.2691342
2015-09-27,13379.888985680158,6917.474703475306,19623.813684558612
2015-10-04,11052.744879085263,4899.464418118102,17248.163953809584
2015-10-11,9466.250378489374,3332.309866545712,15747.033883424736
2015-10-18,8505.268241862495,2497.436304176715,14697.258749092362
2015-10-25,8156.813934121691,1705.5361414627623,14732.201642297841
2015-11-01,10527.088225997632,4267.439998573161,16955.635400450457
2015-11-08,16106.65792492293,9737.893834036468,22377.510832025902
2015-11-15,17453.67431661017,10853.766641583888,23478.82340808099
2015-11-22,17673.585922540446,11625.548683208908,24345.05565932057
2015-11-29,15287.146738692312,8839.642500308531,21560.349167300716
2015-12-06,17462.53285001748,11006.796775636647,23522.44689842918
2015-12-13,13459.628496471541,6831.5015148337125,19687.222971228242
2015-12-20,13411.433148394777,7069.521191384551,20182.07045522979
2015-12-27,13339.585634122162,7557.675870540912,19579.762011746545
2016-01-03,9745.11725691158,2982.5641905846437,16306.078150149708
2016-01-10,5262.39860571626,-1143.9773240217655,11519.810923455925
2016-01-17,3014.341188417734,-3352.5745093579435,9559.762338605504
2016-01-24,5539.1449246066795,-846.6755798148406,11874.080005473124
2016-01-31,5750.170442537669,-743.851822102523,12234.937539608665
2016-02-07,5694.135330675096,-795.8247163578923,12552.42628582739
2016-02-14,3845.180217187547,-2174.4443405996412,10337.65821164797
2016-02-21,3777.9126424312126,-2351.252702099381,9936.44582766931
2016-02-28,2931.9372933823993,-3459.1656094742393,9600.025062186673
2016-03-06,5995.732725906732,-291.65327606003297,12439.98643609593
2016-03-13,9017.316307648689,2388.8890248707617,15554.2971843129
2016-03-20,14400.49739824452,7959.914609061684,21124.714223991596
2016-03-27,10844.146207864478,4805.001664965468,17168.95880783726
2016-04-03,8671.916463223066,2209.670677237022,14549.186980255106
2016-04-10,8662.546223594132,2332.865878146306,14767.412081787485
2016-04-17,6821.491672850379,769.6904911029978,13248.49765719903
2016-04-24,6028.460543876161,-90.15428447459935,12313.392207643516
2016-05-01,5438.237804025997,-882.737580182888,12090.131695983899
2016-05-08,8800.289649604145,2127.4255407432242,15349.942146663157
2016-05-15,6500.549337886685,127.95778634889867,12430.082425521368
2016-05-22,7438.56846178083,1033.8446790264138,13504.145200084782
2016-05-29,8303.632908403586,2189.735180331485,14405.855016875046
2016-06-05,9656.332925938937,3380.1418298692993,16521.01700198229
2016-06-12,8252.034762268977,1888.3224134685547,14100.495417715965
2016-06-19,7852.300043519421,1471.210974307404,14230.751513655849
2016-06-26,7192.510957206772,1402.8303492290893,13960.310654313136
2016-07-03,8908.251792312796,2963.303559547874,15457.943207042226
2016-07-10,6569.8288343982495,367.044092192561,12824.261156825538
2016-07-17,6424.499124803928,70.0135520635295,12565.594705334282
2016-07-24,9009.264705156653,2768.409996183919,15156.104393298454
2016-07-31,7763.162853582246,1648.1561358696583,14142.788196583453
2016-08-07,7063.397379064337,884.1207528846938,13595.893964274941
2016-08-14,6003.37233030208,-393.8271937543581,12351.65558723591
2016-08-21,11092.783366153513,4577.906663770026,17612.06572219849
2016-08-28,9792.32708403371,3310.5737167935017,15904.043532457952
2016-09-04,13295.731477177327,7235.565218039996,19610.051765832563
2016-09-11,16699.52755239565,10573.03653353785,22766.220557117183
2016-09-18,17945.42526664915,11731.718529742478,24665.47414414286
2016-09-25,15837.909913561916,9285.813443407471,22186.87749204042
2016-10-02,13405.711465304094,7390.575060163689,19889.446666914915
2016-10-09,11637.018012897017,4900.564757667473,17959.487852698887
2016-10-16,10271.095788094799,4158.751030550391,16315.330299597097
2016-10-23,9346.183033379662,2818.1465884500217,15510.914831548907
2016-10-30,11599.661286802038,6054.523187305892,17746.573795404765
2016-11-06,17943.83554797769,11270.943835792934,24371.76311907227
2016-11-13,19815.618425671022,13772.849503806347,26240.86329591919
2016-11-20,20614.88875023843,14210.830592172159,27125.76592770805
2016-11-27,18219.698781493375,11781.410187996085,24281.795740646823
2016-12-04,20783.825255942502,14186.010591933507,27123.043456407468
2016-12-11,15948.915600708402,9434.513219241662,22281.54207318634
2016-12-18,15843.054511152859,9412.849227847173,22013.753042380547
2016-12-25,15933.488676115263,9551.619884039997,21958.15611592198
2017-01-01,11923.90140363665,5451.332043385139,18384.983499952054
2017-01-08,6607.323970570736,264.3714831570789,12545.599313761455
2017-01-15,3641.9145247182073,-2969.085726510591,9587.471060746697
2017-01-22,6310.139747156373,87.33130217768483,12466.696030485524
2017-01-29,6644.557391942681,446.27685575743095,12729.81964570235
2017-02-05,6897.54019685821,443.8093543944539,12878.157733148348
2017-02-12,4870.294012939395,-1898.0101233978953,11555.61844301943
2017-02-19,4443.633001652254,-1618.0143941175386,10723.802119533844
2017-02-26,2856.3486196782637,-3868.0106327909684,9676.088298281593
2017-03-05,6063.181415432055,-136.92373255128052,12692.45618696741
2017-03-12,9798.816740462193,3425.9141769739454,15633.73111249295
2017-03-19,16662.589375063162,10193.091113290375,23190.649061189306
2017-03-26,13058.241475702924,6479.132589261947,18931.59896377686
2017-04-02,10600.190442855162,4396.826240974374,17247.70681205069
2017-04-09,10267.765560285345,3867.672416532714,16866.445130289896
2017-04-16,7795.030557602348,1067.9746022285444,14563.767541261066
2017-04-23,6785.465673140001,591.0421982870514,12506.399693273917
2017-04-30,6240.136739837115,-407.0971314772111,12621.237649049386
2017-05-07,10282.625157914255,4612.946019183295,16922.60518073479
2017-05-14,7637.167673102348,1272.5244206289801,13582.304219332516
2017-05-21,8590.744307693902,1990.0283686833493,15225.935496140284
2017-05-28,9433.72713664479,3124.47167388172,15797.519655474156
2017-06-04,10927.519535922707,4476.739219540672,17326.501842315716
2017-06-11,9373.35315827809,3318.0868595615884,16057.715091653257
2017-06-18,9078.641343467003,2590.8885743327555,15673.590210187484
2017-06-25,8489.899776357857,2604.6390968320543,14221.845480764532
2017-07-02,10533.000275575112,3817.7290866237036,16763.634014533225
2017-07-09,7744.457496354899,1524.847399919532,13749.398188818039
2017-07-16,7383.470592822177,358.5577400543074,13224.44428033754
2017-07-23,10204.381329166968,3936.0743149452974,16400.050123026347
2017-07-30,8750.610140422616,2664.268277577729,14837.188378291641
2017-08-06,8023.917840829333,1522.2331371810137,13978.945490913635
2017-08-13,6845.779119283916,382.8948945704325,13333.04769942245
2017-08-20,12603.448057405129,6153.392833917359,19250.93409016394
2017-08-27,10917.296537407394,4667.56416780959,17387.25416624235
2017-09-03,14791.741196337423,8722.256371760468,20943.471930930107
2017-09-10,18716.69971328494,12476.934354287541,24302.877475649027
2017-09-17,20365.588079022757,13625.686968538936,26472.79299458141
2017-09-24,18305.855971952482,12054.091450758957,24479.041665027034
2017-10-01,15871.854383979196,9652.399352545382,22086.397062428558
2017-10-08,14000.491484484335,7604.551194351584,20435.013924915744
2017-10-15,12228.12018092727,6315.6674318383075,18337.811607568663
2017-10-22,10614.686527478556,4273.750942999711,17147.913492655352
2017-10-29,12575.355074379502,6211.658149834416,18989.607271098954
2017-11-05,19554.381998866214,13593.706001367127,26114.76707195931
2017-11-12,21954.052080620168,15859.052134268011,28281.193346165415
2017-11-19,23475.5932610001,17470.163696968546,29860.49871866624
2017-11-26,21241.126685770687,14731.416313071682,27777.683428965847
2017-12-03,24278.435972339703,17904.252450358996,30268.29721465062
2017-12-10,18570.133088627455,12323.747320594091,24669.90225111147
2017-12-17,18348.60899726067,12071.15517763126,24550.813379559873
2017-12-24,18616.234878009094,12454.381320849767,24758.86194458132
2017-12-31,14264.111592621737,7870.6034764524475,20918.50040152105
2018-01-07,8145.936355765946,1607.9532693736692,14885.621129264397
2018-01-14,4389.921047591445,-2186.445408715327,10628.154069622486
2018-01-21,7081.08389264293,997.0866244566646,13966.997631171063
2018-01-28,7487.758667013112,1301.6084226772678,13886.867099738844
2018-02-04,8124.525716252453,2252.5338842342476,14546.129801361705
2018-02-11,6025.969859778806,-355.1620439643354,12244.386901818456
2018-02-18,5236.971454261371,-1582.6906677032273,11614.245608086321
2018-02-25,2751.2648304439986,-3152.408116333042,9106.96404687967
2018-03-04,5915.580898736861,-599.7661494069591,12115.101774959361
2018-03-11,10314.646505355224,3859.665128405529,16422.327185666934
2018-03-18,18796.940889658064,12609.546358062593,24721.88583875911
2018-03-25,15347.255874415381,8851.08729573011,21996.03944954338
2018-04-01,12718.622684767419,6479.84738213253,18882.954963263262
2018-04-08,12026.259359164067,6012.462830882504,18518.50146035146
2018-04-15,8800.835070935747,2350.724804788462,15565.47471857207
2018-04-22,7490.703315144007,1262.3113775510383,13276.03798474654
2018-04-29,6995.917797338871,513.1199477517027,13185.640983970929
2018-05-06,11778.558937990849,5468.1092816381515,17992.48100946707
2018-05-13,8824.078886515608,2494.3891652877564,15531.638617173574
2018-05-20,9780.24184449065,4122.854583346021,16032.306627999113
2018-05-27,10554.414064492785,4493.136877878285,16742.44603790433
2018-06-03,12148.314128216221,6012.820362876608,19058.89721416983
2018-06-10,10435.315215784654,4190.306427492006,16606.247934438576
2018-06-17,10276.564597440884,4035.0729961480706,16286.198849973378
2018-06-24,9813.454939205909,3669.067438122575,16097.630629144996
2018-07-01,12231.53854757235,6011.89471239648,18748.077149744404
2018-07-08,8998.63882683541,2646.9912218005948,15318.73508157536
2018-07-15,8380.810206987691,2199.2021972015264,14534.697489445796
2018-07-22,11379.016978962327,4836.310694420012,17983.58847065128
