ds,yhat
2018-10-02,2925.8310057296007
2018-10-03,2145.8557876481295
2018-10-04,1027.0340228275425
2018-10-05,1406.5937287991915
2018-10-06,2352.4198812198774
2018-10-07,2081.1570399098896
2018-10-08,1789.4904846556649
2018-10-09,2174.2402800792615
2018-10-10,1424.9501313483959
2018-10-11,345.70651863703023
2018-10-12,778.8932637296055
2018-10-13,1789.2315235915037
2018-10-14,1587.5459657982121
2018-10-15,1373.328101270411
2018-10-16,1844.5811740624408
2018-10-17,1184.5183494339708
2018-10-18,198.46229430960727
2018-10-19,732.9676115775724
2018-10-20,1848.666172375
2018-10-21,1749.7175927140822
2018-10-22,1637.674947601686
2018-10-23,2211.0996009246446
2018-10-24,1646.3862683784537
2018-10-25,749.7585222662397
2018-10-26,1371.7720414587186
2018-10-27,2568.9752728379817
2018-10-28,2539.0508665501416
2018-10-29,2485.9867848899075
2018-10-30,3109.4602055256637
2018-10-31,2579.7845611861267
2018-11-01,1704.991980316449
2018-11-02,2340.7043127052552
2018-11-03,3540.592168117351
2018-11-04,3497.186687363139
2018-11-05,3418.332092390396
2018-11-06,4006.3118132597606
2018-11-07,3426.888280352516
2018-11-08,2491.4413003088307
2018-11-09,3062.1747430077676
2018-11-10,4191.341441896217
2018-11-11,4067.6931301546097
2018-11-12,3904.1833679433116
2018-11-13,4406.806694666922
2018-11-14,3737.70457770161
2018-11-15,2712.3364257120256
2018-11-16,3200.0025727142843
2018-11-17,4251.820167395112
2018-11-18,4052.801357232162
2018-11-19,3820.801987203199
2018-11-20,4265.074719052164
2018-11-21,3543.4477326526585
2018-11-22,2474.5405991613948
2018-11-23,2933.621245391073
2018-11-24,3969.3556736553683
2018-11-25,3761.541958656865
2018-11-26,3531.33644618829
2018-11-27,3989.55605832644
2018-11-28,3287.9676844104038
2018-11-29,2246.588714533664
2018-11-30,2744.9187314020787
2018-12-01,3827.5037966920795
2018-12-02,3667.366010111974
2018-12-03,3487.5450015831684
2018-12-04,3999.1843212246667
2018-12-05,3346.9626399122403
2018-12-06,2351.505477498575
2018-12-07,2896.012863102802
2018-12-08,4020.6535461004546
2018-12-09,3891.699138036616
2018-12-10,3734.383275310038
2018-12-11,4260.767679614891
2018-12-12,3609.30397891212
2018-12-13,2602.3388494684064
2018-12-14,3128.1136192331473
2018-12-15,4223.958638885498
2018-12-16,4051.097155354882
2018-12-17,3838.782992924111
2018-12-18,4301.903732004026
2018-12-19,3574.6281935551638
2018-12-20,2482.9586987125053
2018-12-21,2922.056090185939
2018-12-22,3928.1886373750285
2018-12-23,3659.1620323720276
2018-12-24,3349.6950765016827
2018-12-25,3718.7235744794034
2018-12-26,2897.1021116668126
2018-12-27,1715.177899984987
2018-12-28,2075.4221957979466
2018-12-29,3013.121743390355
2018-12-30,2682.430270954433
