ds,yhat
2018-07-08,6587.452929468434
2018-07-15,6555.283291040586
2018-07-22,10354.094963118547
2018-07-29,10009.576180496746
2018-08-05,7931.183088057034
2018-08-12,5687.5784498047615
2018-08-19,8902.874595570975
2018-08-26,8106.536551842106
2018-09-02,13899.79111441214
2018-09-09,19508.28718814082
2018-09-16,22177.804940235343
2018-09-23,20046.63322599873
2018-09-30,18220.31859191284
2018-10-07,14124.935518670527
2018-10-14,11811.037270329049
2018-10-21,8322.13611114223
2018-10-28,9689.935614081629
2018-11-04,17188.104071164555
2018-11-11,21529.923777482552
2018-11-18,23928.743183963925
2018-11-25,22339.689094985664
2018-12-02,24718.286794847423
2018-12-09,19975.426017598646
2018-12-16,21373.84200555837
2018-12-23,22200.335780715348
2018-12-30,17260.245816369967
